Prioritet;Navn;Land;Region;Website;Kontakt-URL;Email;Telefon;Status;Sidst kontaktet;Noter
3 - Mellem;Holst Garn;Danmark;Nordisk;https://holstgarn.dk;https://holstgarn.dk/kontakt;;;Ikke kontaktet;;Små partier
3 - Mellem;Hjertegarn;Danmark;Nordisk;https://hjertegarn.dk;https://hjertegarn.dk/kontakt;;;Ikke kontaktet;;Bred distribution i DK
3 - Mellem;BC Garn;Danmark/Tyskland;Nordisk;https://bc-garn.de;https://bc-garn.de/kontakt;;;Ikke kontaktet;;Dansk-tysk
3 - Mellem;Önling;Danmark;Nordisk;https://onling.dk;https://onling.dk/kontakt;;;Ikke kontaktet;;Egne kollektioner
3 - Mellem;Dale Garn / Dale of Norway;Norge;Nordisk;https://dalegarn.com;https://dalegarn.com/kontakt;;;Ikke kontaktet;;Klassisk norsk uld
3 - Mellem;Järbo Garn;Sverige;Nordisk;https://jarbo.se;https://jarbo.se/kontakt;;;Ikke kontaktet;;Ejer Marks og Kattens
3 - Mellem;Ístex;Island;Nordisk;https://istex.is;https://istex.is/kontakt;;;Ikke kontaktet;;Léttlopi og Álafosslopi
3 - Mellem;Lana Grossa;Tyskland/Italien;Øvrigt;https://lanagrossa.com;https://lanagrossa.com/kontakt;;;Ikke kontaktet;;
3 - Mellem;Lang Yarns;Schweiz;Øvrigt;https://langyarns.com;https://langyarns.com/kontakt;;;Ikke kontaktet;;Bred europæisk distribution
3 - Mellem;Rowan Yarns;UK;Øvrigt;https://knitrowan.com;https://knitrowan.com/kontakt;;;Ikke kontaktet;;Premium britisk
3 - Mellem;Katia;Spanien;Øvrigt;https://katia.com;https://katia.com/kontakt;;;Ikke kontaktet;;Spansk bred distribution
3 - Mellem;Kremke Soul Wool;Tyskland;Øvrigt;https://kremkesoulwool.com;https://kremkesoulwool.com/kontakt;;;Ikke kontaktet;;Populært blandt avancerede strikkere
3 - Mellem;Malabrigo;Uruguay;Øvrigt;https://malabrigoyarn.com;https://malabrigoyarn.com/kontakt;;;Ikke kontaktet;;Håndfarvet bred DK-distribution
4 - Lav;Onion;Danmark;Nordisk;https://onionknit.dk;https://onionknit.dk/kontakt;;;Ikke kontaktet;;Nettle/hampegarn
4 - Lav;Geilsk;Danmark;Nordisk;https://geilsk.dk;https://geilsk.dk/kontakt;;;Ikke kontaktet;;Lille niche
4 - Lav;Stenli;Danmark;Nordisk;https://stenli-design.dk;https://stenli-design.dk/kontakt;;;Ikke kontaktet;;Nicheproducent
4 - Lav;Ruh Strikhåndværk;Danmark;Nordisk;https://ruhstrikhaandvaerk.dk;;;;Ikke kontaktet;;Meget lille håndfarvet
4 - Lav;Rauma Garn;Norge;Nordisk;https://raumaull.no;https://raumaull.no/kontakt;;;Ikke kontaktet;;Traditionelt
4 - Lav;Hillesvåg Ullvarefabrikk;Norge;Nordisk;https://ull.no;https://ull.no/kontakt;;;Ikke kontaktet;;Traditionelt spinderi
4 - Lav;Hifa;Norge;Nordisk;https://hifa.no;;;;Ikke kontaktet;;Undersøg relation til Hillesvåg
4 - Lav;Viking of Norway;Norge;Nordisk;https://vikingyarn.no;https://vikingyarn.no/kontakt;;;Ikke kontaktet;;
4 - Lav;Svarta Fåret;Sverige;Nordisk;https://svartafaret.se;https://svartafaret.se/kontakt;;;Ikke kontaktet;;
4 - Lav;Marks & Kattens;Sverige;Nordisk;https://marks-kattens.com;https://jarbo.se/kontakt;;;Ikke kontaktet;;Del af Järbo-koncernen
4 - Lav;Kampes;Sverige;Nordisk;https://kampes.se;https://kampes.se/kontakt;;;Ikke kontaktet;;Mindre svensk producent
4 - Lav;Östergötlands Ullspinneri;Sverige;Nordisk;https://ullspinneri.com;https://ullspinneri.com/kontakt;;;Ikke kontaktet;;Traditionelt spinderi
4 - Lav;Esito;Finland;Nordisk;https://esito.fi;https://esito.fi/kontakt;;;Ikke kontaktet;;
4 - Lav;Schachenmayr;Tyskland;Øvrigt;https://schachenmayr.com;https://schachenmayr.com/kontakt;;;Ikke kontaktet;;Del af MEZ-koncernen
4 - Lav;Regia;Tyskland;Øvrigt;https://regia-garne.de;https://schachenmayr.com/kontakt;;;Ikke kontaktet;;Sokkegarn del af Schachenmayr
4 - Lav;Atelier Zitron;Tyskland;Øvrigt;https://atelier-zitron.de;https://atelier-zitron.de/kontakt;;;Ikke kontaktet;;Økologisk
4 - Lav;Pascuali;Tyskland;Øvrigt;https://pascuali.de;https://pascuali.de/kontakt;;;Ikke kontaktet;;Bæredygtig profil
4 - Lav;ggh Garn;Tyskland;Øvrigt;https://ggh-garn.de;https://ggh-garn.de/kontakt;;;Ikke kontaktet;;
4 - Lav;Jamieson's of Shetland;UK;Øvrigt;https://jamiesonsofshetland.co.uk;https://jamiesonsofshetland.co.uk/kontakt;;;Ikke kontaktet;;Shetland-uld
4 - Lav;Jamieson & Smith;UK;Øvrigt;https://shetlandwoolbrokers.co.uk;https://shetlandwoolbrokers.co.uk/kontakt;;;Ikke kontaktet;;Shetland-uld separat fra Jamiesons
4 - Lav;Debbie Bliss / Designer Yarns;UK;Øvrigt;https://designeryarns.uk.com;https://designeryarns.uk.com/kontakt;;;Ikke kontaktet;;
4 - Lav;Erika Knight;UK;Øvrigt;https://erikaknight.co.uk;https://erikaknight.co.uk/kontakt;;;Ikke kontaktet;;
4 - Lav;The Fibre Co.;UK;Øvrigt;https://thefibreco.com;https://thefibreco.com/kontakt;;;Ikke kontaktet;;
4 - Lav;DMC;Frankrig;Øvrigt;https://dmc.com;https://dmc.com/kontakt;;;Ikke kontaktet;;Primært brodering
4 - Lav;Manos del Uruguay;Uruguay;Øvrigt;https://manos.uy;https://manos.uy/kontakt;;;Ikke kontaktet;;Kooperativ
4 - Lav;Cascade Yarns;USA;Øvrigt;https://cascadeyarns.com;https://cascadeyarns.com/kontakt;;;Ikke kontaktet;;
4 - Lav;Madelinetosh;USA;Øvrigt;https://madelinetosh.com;https://madelinetosh.com/kontakt;;;Ikke kontaktet;;Håndfarvet
4 - Lav;Brooklyn Tweed;USA;Øvrigt;https://brooklyntweed.com;https://brooklyntweed.com/kontakt;;;Ikke kontaktet;;
4 - Lav;Ito Yarns;Japan;Øvrigt;https://itoyarn.com;https://itoyarn.com/kontakt;;;Ikke kontaktet;;Specialgarn
